,Questions,Answers,Labels
410,What happens after the Yogi attains the lunar light?,"Attaining the lunar light through smoke, night time, the dark fortnight, and the six months of the southern path of the sun (the southern solstice), the yogi returns.",1
411,What are the two black and white paths of the world?,"The bright and dark paths of the world are thought to be eternal; one leads to no return, and the other leads to return.",1
412,Why should we practice Yoga steadfastly?,"Knowing these paths, O Arjuna, no yogi is deluded; therefore, at all times, be steadfast in yoga.",1
413,Is it possible to transcend the rituals of the Vedas?,"Whatever fruit of merit is declared (in the scriptures) to accrue from (the study of) the Vedas, (the performance of) sacrifices, (the practice of) austerities, and gifts, beyond all this goes the Yogi, having known this; and he attains to the Supreme, Primeval (first or ancient) Abode.",1
414,Why did Krishna reveal such deep knowledge and truth to Arjuna?,"The Blessed Lord said, ""I shall now declare to thee, who does not cavil, the greatest secret—the knowledge combined with experience (Self-realisation). Having known this, thou shalt be free from evil.""",1
415,Is there something beyond the reach of science? ,"This is the royal science, the royal secret, the supreme purifier, realizable by direct intuitive knowledge, according to righteousness, very easy to perform and imperishable.",1
416,What happens to those who don't have faith?,"Those who have no faith in this Dharma, O Parantapa, return to the path of this world without attaining Me.",1
417,Where does God live?,"All of this world is pervaded by Me in My unmanifest aspect; all beings exist within Me, but I do not dwell within them.",1
418,Does God exist in all beings?,"Nor do beings exist in Me (in reality); behold, My divine Yoga, which supports all beings, but does not dwell in them, is My Self, the efficient cause of beings.",1
419,What is the relation between God and invidual human beings?,"As the mighty wind, moving everywhere, always rests in the ether, so too, know that all beings rest in Me.",1
420,How does the cycle of time proceed?,"All beings, O Arjuna, go into My Nature at the end of a Kalpa; I send them forth again at the beginning of the next Kalpa.",1
421,Who or what causes human beings to be born?,"Animating My Nature, I again and again send forth all this multitude of beings, helpless under the force of Nature.",1
422,Does God get tangled in the web of Karma?,"These acts do not bind Me, O Arjuna, sitting as one indifferent, unattached to those acts.",1
423,Is God involved in the birth and death of living beings?,"Under Me, as supervisor, Nature produces the moving and the unmoving; therefore, O Arjuna, the world revolves.",1
424,Is it wise to believe in God?,"Fools disregard Me, clad in human form, not knowing My higher Being as the great Lord of all beings.",1
425,What is the nature of deluded people?,"They are possessed of the deceitful nature of demons and undivine beings, filled with vain hopes, vain actions, and vain knowledge that is senseless.",1
426,How do wise people view God?,"But the great souls, O Arjuna, partaking of My divine nature, worship Me with a single-minded devotion, knowing Me as the imperishable source of all beings.",1
427,How do wise people treat God?,"Always glorifying Me, striving, firm in their vows, prostrating themselves before Me, they worship Me with steadfast devotion.",1
428,How else can one worship God?,"Others also, sacrificing with the wisdom-sacrifice, worship Me, the All-Faced, as one, distinct, and manifold.",1
429,What are the characteristics of God?,I am Kratu; I am Yajna; I am the offering to the manes; I am the medicinal herbs and all plants; I am the Mantra; I am also the ghee or melted butter; I am the fire; I am the oblation.,1
430,Who is the father of this world?,"I am the father of this world, the mother, the dispenser of the fruits of actions, and the grandfather; the one thing to be known, the purifier, the sacred monosyllable (Om), and also the Rik, Sama, and Yajur Vedas.",1
431,Who is the mother of this world?,"I am the father of this world, the mother, the dispenser of the fruits of actions, and the grandfather; the one thing to be known, the purifier, the sacred monosyllable (Om), and also the Rik, Sama, and Yajur Vedas.",1
432,Who is the dispenser of the fruits of action?,"I am the father of this world, the mother, the dispenser of the fruits of actions, and the grandfather; the one thing to be known, the purifier, the sacred monosyllable (Om), and also the Rik, Sama, and Yajur Vedas.",1
433,Who is the supporter of this universe?,"I am the goal, the supporter, the Lord, the witness, the abode, the shelter, the friend, the origin, the dissolution, the foundation, the treasure-house, and the imperishable seed.",1
434,Who is the witness of this universe?,"I am the goal, the supporter, the Lord, the witness, the abode, the shelter, the friend, the origin, the dissolution, the foundation, the treasure-house, and the imperishable seed.",1
435,Who is the cause of immortality and death?,"As the sun, I give heat; I withhold and send forth the rain; I am immortality and also death, existence and non-existence, O Arjuna.",1
436,How can we reach heaven?,"The knowers of the three Vedas, the drinkers of Soma, purified of all sins, worshipping Me through sacrifices, pray for the way to heaven; they reach the holy world of the Lord of the gods and enjoy the divine pleasures of the gods in heaven.",1
437,Is heaven eternal?,"They, having enjoyed the vast heaven, enter the world of mortals when their merit is exhausted; thus abiding by the injunctions of the three (Vedas) and desiring objects of desires, they attain to the state of coming and going.",1
438,Does God take care of those who worship him or her?,"For those men who worship Me alone, thinking of no one else, for those ever-united, I secure what they have not already possessed and preserve what they already possess.",1
439,Are the Gods of all religions the same?,"Even those devotees who, endowed with faith, worship other gods, worship Me alone, O Arjuna, but by the wrong method.",1
440,Who is the lord of all the sacrifices?,"For I alone am the enjoyer and Lord of all sacrifices; but they do not know Me in reality, and thus they return to this mortal world.",1
441,Do all religious people reach the same God?,The worshippers of the gods go to them; the ancestor-worshippers go to the manes; the worshippers of the deities who preside over the elements go to them; but My devotees come to Me.,1
442,What should we give to God?,"Whoever offers Me with devotion a leaf, a flower, a fruit, or a little water, that, so offered devotedly by the pure-minded, I accept.",1
443,What kind of attitude should we have towards God?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
444,How should we eat our food?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
445,What is devotion?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
446,What is love?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
447,What is Bhakti?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
448,What is faith?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
449,How can I best utilise my time?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
450,What is the best use of time?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
451,What is the best way to live?,"Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, whatever austerity you practice, O Arjuna, do it as an offering to Me.",1
452,Can we get rid of the bad results of our actions or Karma and keep only the good ones?,"Thus, you shall be freed from the bonds of actions yielding good and evil fruits; with the mind steadfast in the Yoga of renunciation, and liberated, you shall come to Me.",1
453,Does God treat everyone equally?,"I am the same to all beings; there is none hateful or dear to Me; but those who worship Me with devotion are in Me, and I am also in them.",1
454,Do sinful people also have a hope for liberation?,"Even if the most sinful worships Me, with devotion to no one else, he should indeed be regarded as righteous, for he has rightly resolved.",1
455,Does God take care of his devotees?,"Soon he becomes righteous and attains eternal peace; O Arjuna, proclaim thou for certain that My devotee never perishes.",1
456,Is liberation reserved only for upper caste people?,"For, taking refuge in Me, they who, O Arjuna, may be of a sinful birth—women, Vaisyas, and Sudras—attain the Supreme Goal.",1
457,Can women attain libertation?,"For, taking refuge in Me, they who, O Arjuna, may be of a sinful birth—women, Vaisyas, and Sudras—attain the Supreme Goal.",1
458,Can lower caste people attain liberation?,"For, taking refuge in Me, they who, O Arjuna, may be of a sinful birth—women, Vaisyas, and Sudras—attain the Supreme Goal.",1
459,Can shudras attain liberation?,"For, taking refuge in Me, they who, O Arjuna, may be of a sinful birth—women, Vaisyas, and Sudras—attain the Supreme Goal.",1
460,Can royal saints attain salvation?,"How much more easily, then, do Brahmins and devoted royal saints attain the goal? Having come to this impermanent and unhappy world, do thou worship Me.",1
461,What is the best way to achieve salvation?,"Fix your mind on Me; be devoted to Me; sacrifice to Me; bow down to Me; having thus united your whole self to Me, taking Me as the supreme goal, you will come to Me.",1
462,Was Arjuna dear to Krishna?,"The Blessed Lord said, Again, O mighty-armed Arjuna, listen to my supreme word which I will declare to you, who are beloved, for your welfare.",1
463,How difficult to know and understand God?,Neither the hosts of the gods nor the great sages know My origin; for I am the source of all the gods and the great sages in every way.,1
464,How can we git rid of all sin?,"He who knows Me as unborn and beginningless, as the great Lord of the worlds, he among mortals is undeluded and is liberated from all sins.",1
465,What are the qualities of a spiritual person or a devotee?,"Intellect, wisdom, non-delusion, forgiveness, truth, self-restraint, calmness, happiness, pain, existence or birth, non-existence or death, fear, and also fearlessness.",1
466,What qualities arise from God?,"Non-injury, equanimity, contentment, austerity, beneficence, fame, and ill-fame—these different qualities of beings arise from Me alone.",1
467,What was Manu?,"The seven great sages, the ancient four, and the Manus, possessing powers like Mine (due to their minds being fixed on Me), were born from My mind; from them, these creatures have been born in this world.",1
468,How can we become established in unshakeable Yoga?,"He who truly knows these manifold manifestations of My Being and this Yoga-power of Mine, becomes established in unshakable Yoga; there is no doubt about it.",1
469,What is the origin of this universe?,"I am the source of all; from me everything evolves; Understanding this, the wise, endowed with meditation, worship me.",1
470,How do the Yogis live?,"With their minds and lives wholly absorbed in Me, they enlighten each other and ever speak of Me, being satisfied and delighted.",1
471,Does God help those who worship him (or her)?,"To those who are ever steadfast, worshipping me with love, I give the yoga of discrimination, by which they come to me.",1
472,Does God dispel the ignorance of those who are devoted to him (or her)?,"Out of mere compassion for them, I, dwelling within their selves, destroy the darkness born of ignorance with the luminous lamp of knowledge.",1
473,What did Arjuna say in praise of Krishna?,"Arjuna said, ""You are the Supreme Brahman, the supreme abode, the supreme purifier, eternal, divine Person, the primeval God, unborn, and omnipresent.""",1
474,What did Arjuna say about Narada?,"All the sages have thus declared Thee, as also the divine sage Narada; so also Asita, Devala, and Vyasa; and now Thou Thyself dost say so to me.",1
475,Does Arjuna believe all that Krishna told him in the Gita?,"I believe all that You have said to me to be true, O Krishna; indeed, O blessed Lord! Neither the gods nor the demons know Your manifestation (origin).",1
476,Did Arjuna believe in Krishna?,"Verily, Thou Thyself knowest Thyself by Thyself, O Supreme Person, O source and Lord of all beings, O God of gods, O ruler of the world!",1
477,What more did Arjuna want to hear from Krishna?,"You should indeed tell, without reserve, of your divine glories by which you exist, pervading all these worlds. (No one else can do so.)",1
478,What did Arjuna ask about meditation?,"How shall I, ever meditating, know you, O Yogin? In what aspects or things, O blessed Lord, should I think of you?",1
479,Did Arjuna ever ask Krishna to repeat what he had already said?,"Tell me again in detail, O Krishna, of your yogic power and glory; for I am not satiated with what I have heard of your life-giving and nectar-like speech.",1
480,Did Krishna ever repeat what he had already said in the Gita?,"The Blessed Lord said, ""Very well! Now I will declare to you My divine glories in their prominence, O Arjuna; there is no end to their detailed description.""",1
481,Is God same as the Self that dwells in all beings?,"I am the Self, O Gudakesa, seated in the hearts of all beings; I am the beginning, the middle, and the end of all beings.",1
482,Which luminous body did Krishna compare God with?,"Among the twelve Adityas, I am Vishnu; among luminaries, the radiant sun; among the seven or forty-nine Maruts, I am Marichi; among stars, I am the moon.",1
483,Which Veda did Krishna compare God with?,"Among the Vedas, I am the Sama-Veda; among the gods, I am Vasava; among the senses, I am the mind; and among living beings, I am intelligence.",1
484,Which mountain did Krishna compare God with?,"And among the Rudras, I am Sankara; among the Yakshas and Rakshasas, the Lord of Wealth (Kubera); among the Vasus, I am Pavaka (Fire); and among the seven mountains, I am Meru.",1
485,Which water reservoir did Krishna compare God with?,"And, among the household priests of kings, O Arjuna, know Me to be the chief, Brihaspati; among the army generals, I am Skanda; among lakes, I am the ocean.",1
486,Which sage did Krishna compare God with?,"Among the great sages, I am Bhrigu; among words, I am the one syllable (Om); among sacrifices, I am the sacrifice of silent repetition; among the immovable things, I am the Himalayas.",1
487,Which tree did Krishna compare God with?,"Among all the trees, I am the Peepul; among the divine sages, I am Narada; among the Gandharvas, I am Chitraratha; among the perfected, I am the sage Kapila.",1
488,Which horse and elephant did Krishna compare God with?,"Know Me as Ucchaisravas, born of nectar, among horses; Airavata among lordly elephants; and the king among men.",1
489,Which weapon did Krishna compare God with?,"Among weapons, I am the thunderbolt; among cows, I am the wish-fulfilling cow called Kamadhenu; I am the progenitor, the god of love; among serpents, I am Vasuki.",1
490,Which aquatic being did Krishna compare God with?,I am Ananta among the Nagas; I am Varuna among water-deities; Aryaman among the Manes; I am Yama among the governors.,1
491,Which bird did Krishna compare God with?,"And I am Prahlada among the demons, I am Time among reckoners, I am the lion among beasts, and Vainateya (Garuda) among birds.",1
492,Which warrior did Krishna compare God with?,"Among the purifiers, I am the wind; among the warriors, I am Rama; among the fishes, I am the shark; among the streams, I am the Ganga.",1
493,Which science did Krishna compare God with?,"Among creations I am the beginning, the middle, and the end, O Arjuna; among the sciences, I am the science of the Self; and I am the logic among controversialists.",1
494,What letter did Krishna compare God with?,"Among the letters of the alphabet, I am the letter 'A' and the dual among compounds. I am verily the inexhaustible and everlasting time; I am the dispenser of the fruits of actions, having faces in all directions.",1
495,Which feminine quality did Krishna compare God with?,"And I am the all-devouring Death, and the source of prosperity for those who are to be prosperous; among the feminine qualities, I am fame, prosperity, speech, memory, intelligence, firmness, and forgiveness.",1
496,Which hymn did Krishna compare God with?,"Among the hymns, I am the Brihatsaman; among meters, I am Gayatri; among months, I am Margasirsha; among seasons, I am the flowery season.",1
497,Which fraudulent activity did Krishna compare God with?,I am the gambling of the deceitful; I am the splendor of the splendid; I am victory; I am the resolve of the resolute; I am the goodness of the good.,1
498,Which Pandava did Krishna compare God with?,"Among the Vrishnis, I am Vaasudeva; among the Pandavas, I am Arjuna; among the sages, I am Vyasa; among the poets, I am Usanas, the poet.",1
499,Which secret did Krishna compare God with?,"Of those who punish, I am the scepter; among those who seek victory, I am statesmanship; and among secrets, I am silence; I am knowledge among knowers.",1
500,Can anything exist without God?,"And whatever is the seed of all beings, that too am I, O Arjuna; there is no being, be it moving or unmoving, that can exist without Me.",1
501,What are the limitations of God and his manifestations?,"There is no end to My divine glories, O Arjuna, but this is a brief statement by Me of the particulars of My divine glory.",1
502,What is the source of power and energy in human beings?,"Whatever being there is glorious, prosperous, or powerful, know that to be a manifestation of a part of My splendor.",1
503,Is it useful to have a detailed knowledge of how the universe functions?,"But, of what avail is the knowledge of all these details to you, O Arjuna? I exist, supporting this whole world with one part of Myself.",1
504,Did Arjuna's delusion get dispelled?,"Arjuna said, By this explanation of the highest secret concerning the Self which Thou hast spoken, for the sake of blessing me, my delusion has been dispelled.",1
505,Did Arjuna hear the Gita in detail?,"The origin and destruction of beings have been heard in detail from You, O lotus-eyed Lord, and also Your inexhaustible greatness.",1
506,When did Arjuna want to see Krishna's divine form?,"Now, O Supreme Lord, as Thou hast thus described Thyself, O Supreme Person, I wish to behold Thy divine form.",1
507,Where in Gita did Arjuna ask Krishna to reveal his divine form?,"If Thou, O Lord, thinkest it possible for me to see it, do Thou, then, O Lord of the Yogis, show me Thy imperishable Self.",1
508,Where in the Gita did Krishna start revealing his divine form to Arjuna?,"The Blessed Lord said, ""Behold, O Arjuna, forms of Mine, by the hundreds and thousands, of different sorts, divine, and of various colors and shapes.""",1
509,What did Arjuna first see in Krishna's divine form?,"Behold the Adityas, the Vasus, the Rudras, the two Asvins, and the Maruts; behold many wonders never before seen, O Arjuna.",1
510,Did Krishna show Arjuna the whole universe in his divine form?,"Now, behold, O Arjuna, in this My body, the entire universe centered in one, including the moving and the unmoving, and whatever else you desire to see.",1
511,Is it possible to see God with our own eyes?,But you are not able to behold Me with these your own eyes; I give you the divine eye; behold My lordly Yoga.,1
512,What did Sanjay say on seeing Krishna's divine form?,"Sanjaya said, Having thus spoken, O king, the great Lord of Yoga, Hari (Krishna), showed Arjuna His supreme form as the Lord.",1
513,How did Sanjay describe Krishna's divine form?,"With numerous mouths and eyes, with numerous wondrous sights, with numerous divine adornments, with numerous divine weapons uplifted, such a form He showed.",1
514,What was Krishna wearing when he showed his divine form?,"Wearing divine garlands and apparel, anointed with divine unguents, the all-wonderful, resplendent Being is endless with faces on all sides.",1
515,How was the splendour of Krishna's divine form?,"If the splendour of a thousand suns were to blaze out simultaneously in the sky, that would be the splendour of that mighty being.",1
516,How vast was Krishna's divine form?,"There, in the body of the God of gods, Arjuna then saw the entire universe resting in one, with its myriad of divisions.",1
517,What was Arjuna's physical reaction on seeing Krishna's divine form?,"Then, Arjuna, filled with wonder and his hair standing on end, bowed his head to the God and spoke with palms joined.",1
518,Did Arjuna see other Gods in Krishna's divine form?,"Arjuna said, ""O God, I see all the gods in Your body, as well as hosts of various classes of beings, Brahma the Lord seated on the lotus, all the sages, and the celestial serpents.""",1
519,Did Krishna's divine form have a beginning and an end?,"I see You with boundless form on every side, with many arms, stomachs, mouths, and eyes; neither the end nor the middle nor the beginning do I see, O Lord of the Universe, O Cosmic Form.",1
520,What is the proof of God's existence?,"I see You with boundless form on every side, with many arms, stomachs, mouths, and eyes; neither the end nor the middle nor the beginning do I see, O Lord of the Universe, O Cosmic Form.",1
521,What is the proof of God?,"I see You with boundless form on every side, with many arms, stomachs, mouths, and eyes; neither the end nor the middle nor the beginning do I see, O Lord of the Universe, O Cosmic Form.",1
522,How do we know that God exists?,"I see You with boundless form on every side, with many arms, stomachs, mouths, and eyes; neither the end nor the middle nor the beginning do I see, O Lord of the Universe, O Cosmic Form.",1
523,How can we describe Krishna's divine form?,"I see You with the diadem, club, and discus, a mass of radiance shining everywhere, very hard to look at, blazing all around like a burning fire and the sun, and immeasurable.",1
524,"After seeing Krishna's divine form, was Arjuna convinced that he indeed is the supreme God?","You are the Imperishable, the Supreme Being, worthy of being known. You are the great treasure-house of this universe; You are the imperishable protector of the eternal Dharma; You are the Primal Person, I believe.",1
525,How many arms and eyes did Krishna's divine form have?,"I see You without beginning, middle, or end, infinite in power, with endless arms, the sun and moon as Your eyes, the burning fire Your mouth, heating the entire universe with Your radiance.",1
526,Did Krishna's divine form invoke love or fear?,"This space between the earth and the heavens, and all the quarters, is filled by You alone; having seen this, Your wonderful and terrible form, the three worlds are trembling with fear, O great-souled Being.",1
527,Are the devas afraid of the supreme God?,"Verily, these hosts of gods enter into Thee; some extol Thee with joined palms in fear, saying, 'May it be well!' Bands of great sages and perfected ones praise Thee with complete hymns.",1
528,How do the Devas look upon God?,"The Rudras, Adityas, Vasus, Sadhyas, Visvedevas, the two Asvins, Maruts, the Manus, and the hosts of celestial singers, Yakshas, demons, and the perfected ones, all look upon Thee with great amazement.",1
529,Was Arjuna terrified after seeing Krishna's divine form?,"Having seen Your immeasurable form with many mouths and eyes, O mighty-armed one, with many arms, thighs, and feet, with many stomachs and fearsome with many teeth, the worlds are terrified, and so am I.",1
530,Why was Arjuna scared after seeing Krishna's divine form?,"On seeing Thee, touching the sky, shining in many colors, with mouths wide open, with large fiery eyes, I am terrified at heart and find neither courage nor peace, O Vishnu.",1
531,Did Arjuna feel comfortable on seeing Krishna's divine form?,"Having seen Thy mouths fearful with teeth blazing like the fires of cosmic dissolution, I know not the four quarters, nor do I find peace. Have mercy, O Lord of the gods, O abode of the universe.",1
532,Did Arjuna see the Kauravas inside Krishna?,"All the sons of Dhritarashtra, along with the hosts of kings of the earth, Bhishma, Drona, and Karna, as well as the chief among our warriors.",1
533,Did Arjuna see warriors being crushed by Krishna?,"Some hurry into Your mouths with their terrible teeth, fearful to behold. Some are found stuck in the gaps between the teeth, their heads crushed to powder.",1
534,What did Arjuna compare Krishna's mouth with?,"Verily, just as many torrents of rivers flow towards the ocean, so too these heroes in the world of men enter Thy flaming mouths.",1
535,What did Arjuna compare the creatures entering Krishna's mouth with?,"As moths hurriedly rush into a blazing fire, leading to their own destruction, so too these creatures hurry into Your mouths, leading to their own destruction.",1
536,How did Arjuna describe various living beings entering Krishna's divine form?,"Thou lickest up, devouring all the worlds on every side with Thy flaming mouths. Thy fierce rays, filling the whole world with radiance, burn, O Vishnu!",1
537,What did Arjuna ask Krishna to do after seeing his terrifying divine form?,"Tell me, who you are, so fierce of form. I offer my salutations to you, O God Supreme; have mercy on me. I desire to know you, the original Being. I do not indeed know your workings.",1
538,Were the warriors in the Mahabharata war destined to die?,"The Blessed Lord said, ""I am the full-grown, world-destroying Time, now engaged in destroying the worlds. Even without you, none of the warriors arrayed in the hostile armies will live.""",1
539,Was Arjuna merely an intrument in the war to carry out mass termination of human beings?,"Therefore, stand up and obtain fame. Conquer the enemies and enjoy the unparalleled kingdom. Verily, by Me they have already been slain; be thou a mere instrument, O Arjuna.",1
540,How did Krishna convince Arjuna that he is going to win in the war?,"Drona, Bhishma, Jayadratha, Karna, and other brave warriors have already been slain by Me; do not be distressed with fear; fight and you shall conquer your enemies in battle.",1
541,Was Arjuna choked with emotion on seeing Krishna's divine form?,"Sanjaya said, Having heard that speech of Lord Krishna, Arjuna, with joined palms, trembling, prostrated himself, again addressing Krishna in a choked voice, bowing down, overwhelmed with fear.",1
542,Who is afraid of God?,"Arjuna said, ""It is fitting, O Krishna, that the world delights and rejoices in Your praise; demons fly in fear in all directions and the hosts of the perfected ones bow to You.""",1
543,Why do the sages bow down to God?,"And why should they not, O great Soul, bow to Thee Who art greater than all else, the primal cause even of the Creator (Brahma), O Infinite Being, O Lord of the gods, O Abode of the universe; Thou art the imperishable, the Being, the non-being, and That which is supreme—that which is beyond the Being and the non-being.",1
544,who is the knower as well as the object of knowledge?,"You are the primal God, the ancient Purusha, the supreme refuge of this universe, the knower, the knowable, and the supreme Abode. Through You, the universe is pervaded, O Being of infinite forms.",1
545,What does Arjuna compare Krishna with?,"You are Vayu, Yama, Agni, Varuna, the moon, the Creator, and the great-grandfather. I offer my salutations to You a thousand times, and again I offer my salutations to You.",1
546,Did Arjuna finally realise that Krishna was God himself?,"Salutations to You in front and behind! Salutations to You on every side! O All! You, infinite in power and prowess, pervade all; therefore You are all.",1
547,When did Arjuna develop devotion towards Krishna?,"Whatever I have presumptuously said from carelessness or love, addressing You as O Krishna! O Yadava! O Friend! regarding You merely as a friend, unknowing of Your greatness.",1
548,Did Arjuna ever treat Krishna with disrespect?,"In whatever way I may have insulted You for the sake of fun, while at play, reposing, sitting, or at meals, when alone (with You), O Krishna, or in company, that I implore You, immeasurable one, to forgive.",1
549,Did Arjuna realise that Krishna was the highest being?,"Thou art the Father of this world, both moving and unmoving. Thou art to be adored by this world; Thou, the greatest Guru; for none exists who is equal to Thee; how then could there be another superior to Thee in the three worlds, O Being of unrivaled power?",1
550,When did Arjuna ask for Krishna's mercy?,"Therefore, bowing down and prostrating my body, I crave Thy forgiveness, O adorable Lord. As a father forgives his son, a friend his dear friend, a lover his beloved, even so may Thou forgive me, O God.",1
551,Was Arjuna delighted after seeing Krishna's divine form?,"I am delighted, having seen something never seen before; yet my mind is distressed with fear. Show me that form only, O God; have mercy, O God of gods, O Abode of the universe.",1
552,When did Arjuna ask Krishna to show his gracious form?,"I desire to see You as before, crowned, bearing a mace, with the discus in hand, in Your former form only, having four arms, O thousand-armed, Cosmic Being.",1
553,Had anyone seen Krishna's divine form before Arjuna?,"The Blessed Lord said, ""O Arjuna, this Cosmic Form has graciously been shown to you by Me through My own Yogic power. It is full of splendour, primeval, and infinite; this Cosmic Form of Mine has never been seen before by anyone other than you.""",1
554,Can we get to see Krishna's divine form through austerities?,"Neither by the study of the Vedas, nor by gifts, nor by sacrifices, nor by severe austerities, can I be seen in this form in the world of men by any other than yourself, O great hero of the Kurus (Arjuna).",1
555,Can we get to see God through austerities?,"Neither by the study of the Vedas, nor by gifts, nor by sacrifices, nor by severe austerities, can I be seen in this form in the world of men by any other than yourself, O great hero of the Kurus (Arjuna).",1
556,Did Krishna get back to his usual form in the war?,"Do not be afraid, nor be bewildered on seeing such a terrible form of Mine; with your fear dispelled and with a gladdened heart, now behold again this former form of Mine.",1
557,When Krishna get back to his usual form in the war?,"Sanjaya said, Having thus spoken to Arjuna, Krishna again showed His own form. The great Soul, assuming His gentle form, then consoled Arjuna, who was terrified.",1
558,When did Arjuna gain his composure after seeing the divine form?,"Arjuna said, ""Having seen this Thy gentle human form, O Krishna, now I am composed and have been restored to my own nature.""",1
559,Is it easy to get to see God's divine  form?,"The Blessed Lord said, ""It is very hard indeed to see this form of Mine which thou hast seen; even the gods are ever longing to behold it.""",1
560,Is it easy to get to see God?,"The Blessed Lord said, ""It is very hard indeed to see this form of Mine which thou hast seen; even the gods are ever longing to behold it.""",1
561,Can we get to see Krishna's divine form through rituals?,"Neither by the Vedas, nor by austerity, nor by gift, nor by sacrifice can I be seen in this form as thou hast seen Me so easily.",1
562,Is devotion necessary to know God?,"But by single-minded devotion, I can be known, seen, and entered into in reality, O Arjuna.",1
563,What happens to those who have no enemies?,"He who does all actions for Me, who regards Me as the Supreme, who is devoted to Me, who is free from attachment, who bears no enmity towards any creature, he comes to Me, O Arjuna.",1
564,When did Arjuna start asking about devotion?,"Arjuna said, ""Which of them are better versed in Yoga—those who steadfastly worship You, or those who worship the imperishable and the unmanifested?""",1
565,Who is considered to be the highest among Yogis?,"The Blessed Lord said, ""In My opinion, those who fix their minds on Me, worship Me ever steadfastly, and are endowed with supreme faith, are the best in Yoga.""",1
566,What happens to those who meditate on formless God?,"Those who worship the imperishable, the indefinable, the unmanifest, the omnipresent, the unthinkable, the immovable, and the eternal.",1
567,What happens after we have controlled our senses?,"Having restrained all the senses, being even-minded everywhere, and intent on the welfare of all beings, they verily come unto Me.",1
568,Is God with form or formless?,"Greater is their trouble whose minds are set on the unmanifested, for the goal of the unmanifested is very hard for the embodied to reach.",1
569,What is the use of having faith in God?,"But to those who worship Me, renouncing all actions in Me, regarding Me as the supreme goal, meditating on Me with single-minded yoga.",1
570,Is it useful to pray to God?,"To those whose minds are set on Me, O Arjuna, verily I soon become the savior out of the ocean of Samsara.",1
571,What should we fix our mind on during meditation?,"Fix your mind on Me, and your intellect in Me. Then you will certainly live in Me alone hereafter.",1
572,Where does Krishna talk about surrender?,"Fix your mind on Me, and your intellect in Me. Then you will certainly live in Me alone hereafter.",1
573,Where does Gita talk about surrender?,"Fix your mind on Me, and your intellect in Me. Then you will certainly live in Me alone hereafter.",1
574,What do I do if I am unable to focus my mind?,"If you are unable to fix your mind steadily on Me, then seek to reach Me through the yoga of constant practice, O Arjuna.",1
575,What do I do if I am unable to practice Yoga?,"If you are unable to practice even this Abhyasa Yoga, be intent on doing actions for My sake; even by doing actions for My sake, you will attain perfection.",1
576,What do I do if I am unable to do selfless service?,"If you are unable to do even this, then, resort to union with Me and renounce the fruits of all actions with self-control.",1
577,Is there anything better than meditation for spiritual growth?,Better indeed is knowledge than practice; better than knowledge is meditation; better than meditation is the renunciation of the fruits of actions: peace immediately follows renunciation.,1
578,Why should we develop compassion?,"He who hates no creature, is friendly and compassionate to all, is free from attachment and egoism, is balanced in pleasure and pain, and is forgiving.",1
579,Are people with a firm conviction dear to God?,"Ever content, steady in meditation, self-controlled, possessing firm conviction, with the mind and intellect dedicated to Me, he, My devotee, is dear to Me.",1
580,Who is dear to God?,"Ever content, steady in meditation, self-controlled, possessing firm conviction, with the mind and intellect dedicated to Me, he, My devotee, is dear to Me.",1
581,Are people free from fear and aversion dear to God?,"He whom the world does not agitate, and who cannot be agitated by the world, and who is freed from joy, anger, fear, and anxiety—he is dear to Me.",1
582,Are people free from desires and agony dear to God?,"He who is free from wants, pure, expert, unconcerned, and free from pain, renouncing all undertakings and commencements, he who is devoted to Me is dear to Me.",1
583,Who is a true devotee?,"He who is free from wants, pure, expert, unconcerned, and free from pain, renouncing all undertakings and commencements, he who is devoted to Me is dear to Me.",1
584,Are people free from hatred and full of devotion dear to God?,"He who neither rejoices nor hates, nor grieves nor desires, renouncing both good and evil, and who is full of devotion, is dear to Me.",1
585,Are people free from all attachment dear to God?,"He who is the same to foe and friend, and also in honor and dishonor, who is the same in cold and heat, in pleasure and pain, and who is free from attachment.",1
586,Are people with a firm mind dear to God?,"He to whom censure and praise are equal, who is silent, content with anything, homeless, of a steady mind, and full of devotion; that man is dear to me.",1
